price,year,mileage,engine_l,fuel,gearbox,city,views,car_age,price_per_km
9000000.0,2015.0,185000.0,3.5,petrol,automatic,Алматы,0,10.0,48.648648648648646
35000000.0,2021.0,100000.0,3.0,diesel,automatic,Алматы,0,4.0,350.0
5800000.0,2001.0,,3.0,petrol,automatic,Жанаозен,0,24.0,
2800000.0,2013.0,137000.0,1.7,petrol,manual,Актобе,0,12.0,20.437956204379564
10000000.0,2019.0,35000.0,2.0,petrol,cvt,Астана,0,6.0,285.7142857142857
6500000.0,2007.0,300000.0,2.9,petrol,manual,Актау,0,18.0,21.666666666666668
2500000.0,1994.0,,2.0,petrol,automatic,Тараз,0,31.0,
650000.0,1990.0,200000.0,2.0,petrol,automatic,Алматы,0,35.0,3.25
3500000.0,2021.0,1980.0,,other,automatic,Алматы,0,4.0,1767.6767676767677
16000000.0,2023.0,85000.0,2.5,diesel,automatic,Шымкент,0,2.0,188.23529411764707
3900000.0,2014.0,255200.0,1.5,petrol,manual,Шымкент,0,11.0,15.282131661442007
2250000.0,1998.0,326000.0,1.6,petrol,manual,Актобе,0,27.0,6.901840490797546
2250000.0,1998.0,326000.0,1.6,petrol,manual,Актобе,0,27.0,6.901840490797546
13400000.0,2023.0,31000.0,2.0,petrol,automatic,Алматы,0,2.0,432.258064516129
35000000.0,2019.0,104000.0,3.5,petrol,automatic,Астана,0,6.0,336.53846153846155
6200000.0,1996.0,,3.0,petrol,automatic,Астана,0,29.0,
15400000.0,2021.0,49000.0,2.5,petrol,automatic,Павлодар,0,4.0,314.2857142857143
8500000.0,2018.0,150000.0,2.0,petrol,cvt,Атырау,0,7.0,56.666666666666664
1630000.0,2004.0,222222.0,2.0,diesel,automatic,Астана,0,21.0,7.335007335007335
1950000.0,2012.0,290000.0,1.6,petrol,manual,Костанай,0,13.0,6.724137931034483
13400000.0,2025.0,,1.5,other,automatic,Астана,0,0.0,
18000000.0,2025.0,3000.0,2.5,petrol,automatic,Алматы,0,0.0,6000.0
1000000.0,2000.0,,2.2,diesel,manual,Карабалык (Карабалыкский р-н),0,25.0,
4500000.0,2014.0,255000.0,1.6,petrol,automatic,Алматы,0,11.0,17.647058823529413
1300000.0,1993.0,,2.0,petrol,manual,Петропавловск,0,32.0,
3800000.0,2021.0,170000.0,1.6,petrol,automatic,Астана,0,4.0,22.352941176470587
1600000.0,1993.0,280000.0,2.0,petrol,manual,Астана,0,32.0,5.714285714285714
36000000.0,2017.0,82600.0,4.6,petrol,automatic,Астана,0,8.0,435.83535108958836
8000000.0,2006.0,,3.5,petrol,automatic,Алматы,0,19.0,
